,accumulated_power,altitude,cadence,distance,enhanced_altitude,enhanced_speed,fractional_cadence,heart_rate,power,resistance,speed,temperature,timestamp,unknown_61,unknown_66
0,91,2120,68,6.44,-76.0,6.438,0.0,67,91.0,0,6438,20,2019-05-11 16:34:24,2120,581
1,188,2119,68,12.96,-76.19999999999999,6.522,0.0,0,97.0,0,6522,20,2019-05-11 16:34:25,2119,582
2,188,2120,68,19.48,-76.0,6.522,0.0,0,103.0,0,6522,20,2019-05-11 16:34:26,2120,581
3,394,2120,71,26.68,-76.0,7.194,0.0,0,103.0,0,7194,20,2019-05-11 16:34:27,2120,581
4,500,2119,71,33.76,-76.19999999999999,7.082,0.0,0,106.0,0,7082,21,2019-05-11 16:34:28,2119,581
5,616,2120,75,40.78,-76.0,7.026,0.0,0,116.0,0,7026,21,2019-05-11 16:34:29,2120,581
6,732,2120,76,47.81,-76.0,7.026,0.0,0,116.0,0,7026,21,2019-05-11 16:34:30,2120,581
7,846,2119,76,54.75,-76.19999999999999,6.942,0.0,0,114.0,0,6942,21,2019-05-11 16:34:31,2119,581
8,959,2119,75,61.78,-76.19999999999999,7.026,0.0,0,113.0,0,7026,21,2019-05-11 16:34:32,2119,581
9,959,2119,75,68.78,-76.19999999999999,6.998,0.0,0,111.0,0,6998,21,2019-05-11 16:34:33,2119,581
10,1181,2119,75,76.0,-76.19999999999999,7.222,0.0,0,111.0,0,7222,21,2019-05-11 16:34:34,2119,582
11,1294,2119,76,83.25,-76.19999999999999,7.25,0.0,0,113.0,0,7250,21,2019-05-11 16:34:35,2119,581
12,1409,2119,76,90.5,-76.19999999999999,7.25,0.0,0,115.0,0,7250,21,2019-05-11 16:34:36,2119,581
13,1525,2119,77,97.77,-76.19999999999999,7.269,0.0,0,116.0,0,7269,21,2019-05-11 16:34:37,2119,581
14,1645,2119,78,105.12,-76.19999999999999,7.353,0.0,0,120.0,0,7353,21,2019-05-11 16:34:38,2119,581
15,1765,2119,78,112.44,-76.19999999999999,7.325,0.0,0,120.0,0,7325,21,2019-05-11 16:34:39,2119,581
16,1887,2119,79,119.71,-76.19999999999999,7.269,0.0,0,122.0,0,7269,21,2019-05-11 16:34:40,2119,581
17,1887,2119,79,126.93,-76.19999999999999,7.222,0.0,0,121.0,0,7222,21,2019-05-11 16:34:41,2119,581
18,2129,2119,77,134.24,-76.19999999999999,7.297,0.0,0,121.0,0,7297,21,2019-05-11 16:34:42,2119,581
19,2250,2119,78,141.5,-76.19999999999999,7.269,0.0,0,121.0,0,7269,21,2019-05-11 16:34:43,2119,581
20,2371,2119,78,148.77,-76.19999999999999,7.269,0.0,0,121.0,0,7269,21,2019-05-11 16:34:44,2119,581
21,2492,2119,79,156.04,-76.19999999999999,7.269,0.0,0,121.0,0,7269,21,2019-05-11 16:34:45,2119,581
22,2613,2119,79,163.36,-76.19999999999999,7.325,0.0,0,121.0,0,7325,21,2019-05-11 16:34:46,2119,581
23,2734,2119,79,170.58,-76.19999999999999,7.222,0.0,63,121.0,0,7222,21,2019-05-11 16:34:47,2119,581
24,2855,2119,78,177.91,-76.19999999999999,7.325,0.0,63,121.0,0,7325,21,2019-05-11 16:34:48,2119,581
25,2976,2119,78,185.16,-76.19999999999999,7.25,0.0,63,121.0,0,7250,21,2019-05-11 16:34:49,2119,581
26,3096,2119,77,192.35,-76.19999999999999,7.194,0.0,60,120.0,0,7194,21,2019-05-11 16:34:50,2119,581
27,3216,2120,77,199.41,-76.0,7.054,0.0,60,120.0,0,7054,21,2019-05-11 16:34:51,2120,581
28,3332,2120,77,206.43,-76.0,7.026,0.0,60,116.0,0,7026,21,2019-05-11 16:34:52,2120,581
29,3448,2120,75,212.51,-76.0,6.074,0.0,60,116.0,0,6074,21,2019-05-11 16:34:53,2120,581
30,3547,2120,75,217.39,-76.0,4.88,0.0,60,99.0,0,4880,21,2019-05-11 16:34:54,2120,581
31,3646,2120,75,220.75,-76.0,3.359,0.0,60,99.0,0,3359,21,2019-05-11 16:34:55,2120,581
32,3722,2120,0,223.21,-76.0,2.463,0.0,60,76.0,0,2463,21,2019-05-11 16:34:56,2120,581
33,3775,2120,0,225.26,-76.0,2.053,0.0,60,53.0,0,2053,21,2019-05-11 16:34:57,2120,581
34,3813,2120,0,226.01,-76.0,0.746,0.0,60,38.0,0,746,21,2019-05-11 16:34:58,2120,581
35,3825,2120,0,226.28,-76.0,0.271,0.0,60,12.0,0,271,21,2019-05-11 16:34:59,2120,581
36,3825,2120,0,226.28,-76.0,0.0,0.0,60,0.0,0,0,21,2019-05-11 16:35:00,2120,582
37,3825,2120,0,226.28,-76.0,0.0,0.0,60,0.0,0,0,21,2019-05-11 16:35:01,2120,582
38,3825,2120,0,226.28,-76.0,0.0,0.0,59,0.0,0,0,21,2019-05-11 16:35:02,2120,582
39,3825,2119,0,226.28,-76.19999999999999,0.0,0.0,59,0.0,0,0,21,2019-05-11 16:35:03,2119,582
40,3825,2119,0,226.28,-76.19999999999999,0.0,0.0,59,0.0,0,0,21,2019-05-11 16:35:04,2119,582
41,3901,4392,61,231.86,378.4,5.58,0.0,73,,0,5580,20,2019-05-11 16:35:41,4828,1652
42,4014,3261,63,237.88,152.20000000000005,6.018,0.0,73,113.0,0,6018,20,2019-05-11 16:35:42,3495,1151
43,4165,2697,63,243.9,39.39999999999998,6.018,0.0,73,151.0,0,6018,20,2019-05-11 16:35:43,2819,877
44,4316,2412,65,250.47,-17.600000000000023,6.578,0.0,73,151.0,0,6578,20,2019-05-11 16:35:44,2475,733
45,4469,2268,69,257.14,-46.39999999999998,6.662,0.0,73,153.0,0,6662,20,2019-05-11 16:35:45,2300,659
46,4622,2195,69,264.08,-61.0,6.942,0.0,73,153.0,0,6942,20,2019-05-11 16:35:46,2211,621
47,4775,2159,73,271.33,-68.19999999999999,7.25,0.0,73,153.0,0,7250,20,2019-05-11 16:35:47,2167,602
48,4928,2140,75,278.9,-72.0,7.577,0.0,73,153.0,0,7577,20,2019-05-11 16:35:48,2144,592
49,5081,2130,75,286.51,-74.0,7.605,0.0,73,153.0,0,7605,20,2019-05-11 16:35:49,2132,587
50,5234,2125,78,294.09,-75.0,7.577,0.0,81,153.0,0,7577,20,2019-05-11 16:35:50,2126,584
51,5385,2123,78,301.72,-75.39999999999998,7.633,0.0,84,151.0,0,7633,20,2019-05-11 16:35:51,2123,583
52,5536,2121,80,309.43,-75.80000000000001,7.716,0.0,84,151.0,0,7716,20,2019-05-11 16:35:52,2121,582
53,5687,2120,81,317.37,-76.0,7.94,0.0,84,151.0,0,7940,20,2019-05-11 16:35:53,2120,582
54,5838,2120,81,325.46,-76.0,8.08,0.0,84,151.0,0,8080,20,2019-05-11 16:35:54,2120,582
55,5990,2120,83,333.76,-76.0,8.304,0.0,84,152.0,0,8304,20,2019-05-11 16:35:55,2120,582
56,6142,2120,87,342.12,-76.0,8.36,0.0,84,152.0,0,8360,20,2019-05-11 16:35:56,2120,582
57,6294,2120,91,350.69,-76.0,8.575,0.0,84,152.0,0,8575,20,2019-05-11 16:35:57,2120,581
58,6446,2120,91,359.33,-76.0,8.631,0.0,79,152.0,0,8631,20,2019-05-11 16:35:58,2120,582
59,6596,2120,92,367.85,-76.0,8.519,0.0,76,150.0,0,8519,20,2019-05-11 16:35:59,2120,582
60,6746,2120,92,376.34,-76.0,8.491,0.0,76,150.0,0,8491,20,2019-05-11 16:36:00,2120,582
61,6895,2120,91,384.78,-76.0,8.435,0.0,76,149.0,0,8435,20,2019-05-11 16:36:01,2120,581
62,7044,2120,91,393.23,-76.0,8.463,0.0,76,149.0,0,8463,20,2019-05-11 16:36:02,2120,581
63,7193,2120,90,401.7,-76.0,8.463,0.0,76,149.0,0,8463,20,2019-05-11 16:36:03,2120,581
64,7343,2120,89,410.16,-76.0,8.463,0.0,76,150.0,0,8463,20,2019-05-11 16:36:04,2120,581
65,7493,2120,89,418.85,-76.0,8.687,0.0,76,150.0,0,8687,20,2019-05-11 16:36:05,2120,581
66,7643,2120,90,427.53,-76.0,8.687,0.0,76,150.0,0,8687,20,2019-05-11 16:36:06,2120,582
67,7793,2120,92,436.14,-76.0,8.603,0.0,76,150.0,0,8603,20,2019-05-11 16:36:07,2120,582
68,7943,2120,92,444.68,-76.0,8.547,0.0,76,150.0,0,8547,20,2019-05-11 16:36:08,2120,582
69,8093,2120,92,453.29,-76.0,8.603,0.0,76,150.0,0,8603,20,2019-05-11 16:36:09,2120,581
70,8243,2120,91,462.31,-76.0,9.023,0.0,76,150.0,0,9023,20,2019-05-11 16:36:10,2120,581
71,8395,2120,94,471.36,-76.0,9.051,0.0,76,152.0,0,9051,20,2019-05-11 16:36:11,2120,581
72,8547,2120,97,480.44,-76.0,9.079,0.0,76,152.0,0,9079,20,2019-05-11 16:36:12,2120,581
73,8699,2120,97,489.72,-76.0,9.275,0.0,76,152.0,0,9275,20,2019-05-11 16:36:13,2120,581
74,8851,2120,97,498.9,-76.0,9.191,0.0,76,152.0,0,9191,20,2019-05-11 16:36:14,2120,581
75,9003,2120,97,508.04,-76.0,9.135,0.0,76,152.0,0,9135,20,2019-05-11 16:36:15,2120,581
76,9156,2120,97,517.12,-76.0,9.079,0.0,76,153.0,0,9079,20,2019-05-11 16:36:16,2120,581
77,9309,2120,96,526.06,-76.0,8.939,0.0,76,153.0,0,8939,20,2019-05-11 16:36:17,2120,581
78,9458,2120,96,535.02,-76.0,8.967,0.0,76,149.0,0,8967,20,2019-05-11 16:36:18,2120,581
79,9607,2121,94,544.02,-75.80000000000001,8.995,0.0,76,149.0,0,8995,20,2019-05-11 16:36:19,2121,581
80,9757,2121,93,552.98,-75.80000000000001,8.967,0.0,76,150.0,0,8967,20,2019-05-11 16:36:20,2121,581
81,9907,2121,95,561.96,-75.80000000000001,8.967,0.0,76,150.0,0,8967,20,2019-05-11 16:36:21,2121,581
82,10056,2121,95,570.58,-75.80000000000001,8.631,0.0,76,149.0,0,8631,20,2019-05-11 16:36:22,2121,581
83,10205,2121,94,579.3,-75.80000000000001,8.715,0.0,76,149.0,0,8715,20,2019-05-11 16:36:23,2121,581
84,10354,2121,93,588.18,-75.80000000000001,8.883,0.0,76,149.0,0,8883,20,2019-05-11 16:36:24,2121,581
85,10503,2121,94,597.04,-75.80000000000001,8.855,0.0,76,149.0,0,8855,20,2019-05-11 16:36:25,2121,581
86,10652,2121,94,605.81,-75.80000000000001,8.771,0.0,83,149.0,0,8771,20,2019-05-11 16:36:26,2121,581
87,10801,2121,94,614.6,-75.80000000000001,8.771,0.0,94,149.0,0,8771,20,2019-05-11 16:36:27,2121,581
88,10950,2121,94,623.3,-75.80000000000001,8.715,0.0,94,149.0,0,8715,20,2019-05-11 16:36:28,2121,581
89,11099,2121,94,631.98,-75.80000000000001,8.687,0.0,94,149.0,0,8687,20,2019-05-11 16:36:29,2121,581
90,11248,2121,94,640.67,-75.80000000000001,8.687,0.0,94,149.0,0,8687,20,2019-05-11 16:36:30,2121,581
91,11248,2121,94,649.41,-75.80000000000001,8.743,0.0,94,149.0,0,8743,20,2019-05-11 16:36:31,2121,582
